Xact CAT, Xact Category Name,Xact SEL,Xact Description,Xact Unit,Xact Activity
WTR,Water Extraction & remediation,ACT3,Remove wet ceiling tile & drywall and bag - Cat 3,SF,-
WTR,Water Extraction & remediation,ACT3A,Remove wet ceiling tile & drywall and bag - Cat 3 aft hrs,SF,-
WTR,Water Extraction & remediation,ACT,Remove wet ceiling tile & drywall and bag for disposal,SF,-
WTR,Water Extraction & remediation,ACTA,"Remove wet ceiling tile & drywall, bag for disp. after hrs",SF,-
WTR,Water Extraction & remediation,ACTAS3,Remove wet ceiling tile w/staples - bag Cat 3,SF,-
WTR,Water Extraction & remediation,ACTAS3A,Remove wet ceiling tile w/staples - bag Cat 3 - aft hrs,SF,-
WTR,Water Extraction & remediation,ACTAS,Remove wet ceiling tile w/staples - bag for disposal,SF,-
WTR,Water Extraction & remediation,ACTASA,"Remove wet ceiling tile w/staples, bag for disp. - aft hrs",SF,-
WTR,Water Extraction & remediation,ACTSA,"Remove wet susp. ceiling tile, bag for disp. - after hrs",SF,-
WTR,Water Extraction & remediation,ACTSS,Remove wet suspended ceiling tile and bag - Cat 3,SF,-
WTR,Water Extraction & remediation,ACTSSA,Remove wet suspended ceiling tile and bag - Cat 3 aft hrs,SF,-
WTR,Water Extraction & remediation,ACTS,Remove wet suspended ceiling tile and bag for disposal,SF,-
WTR,Water Extraction & remediation,PPERF,Respirator - Full face - multi-purpose resp. (per day),DA,+
WTR,Water Extraction & remediation,PPERH,Respirator - Half face - multi-purpose resp. (per day),DA,+
WTR,Water Extraction & remediation,PPERCM,Respirator cartridge - HEPA & vapor & gas (per pair),EA,+
WTR,Water Extraction & remediation,PPERC,Respirator cartridge - HEPA only (per pair),EA,+
WTR,Water Extraction & remediation,PPERCV,Respirator cartridge - organic vapor & acid gas (per pair),EA,+
WTR,Water Extraction & remediation,SANDF,Sand exposed framing - Floor,SF,+
WTR,Water Extraction & remediation,SANDW,Sand exposed framing - Walls,SF,+
WTR,Water Extraction & remediation,FCWSC,Screen wood floor,SF,+
WTR,Water Extraction & remediation,HTSC,Sensored control system for electric heat drying (24 hr),EA,+
WTR,Water Extraction & remediation,SNKDD,Sink - double basin - Detach,EA,+
WTR,Water Extraction & remediation,SNKDDA,Sink - double basin - Detach - after hours,EA,+
WTR,Water Extraction & remediation,SNKD,Sink - single basin - Detach,EA,+
WTR,Water Extraction & remediation,SNKDA,Sink - single basin - Detach - after hours,EA,+
WTR,Water Extraction & remediation,SNKUD,Sink - undermount - Detach,EA,+
WTR,Water Extraction & remediation,SNKUDA,Sink - undermount - Detach - after hours,EA,+
WTR,Water Extraction & remediation,SBSF,Soda blasting exposed framing - Floor (PER SF),SF,+
WTR,Water Extraction & remediation,SBSW,Soda blasting exposed framing - Walls (PER SF),SF,+
WTR,Water Extraction & remediation,SBSFSH,Soda blasting exposed framing w/sheathing - Floor (PER SF),SF,+
WTR,Water Extraction & remediation,SBSWSH,Soda blasting exposed framing w/sheathing - Walls (PER SF),SF,+
WTR,Water Extraction & remediation,SMAT,Sticky / tacky mat,EA,+
WTR,Water Extraction & remediation,DRY1CF,Structural drying per CF - Class 1 (Bid Item),CF,+
WTR,Water Extraction & remediation,DRY2CF,Structural drying per CF - Class 2 (Bid Item),CF,+
WTR,Water Extraction & remediation,DRY3CF,Structural drying per CF - Class 3 (Bid Item),CF,+
WTR,Water Extraction & remediation,DRY4CF,Structural drying per CF - Class 4 (Bid Item),CF,+
WTR,Water Extraction & remediation,DRYCCF,Structural drying per CF - Climate controlled (Bid Item),CF,+
WTR,Water Extraction & remediation,DRYCNCF,Structural drying per CF - Non-climate cont. (Bid Item),CF,+
WTR,Water Extraction & remediation,DRY1,Structural drying per SF - Class 1 (Bid Item),SF,+
WTR,Water Extraction & remediation,DRY2,Structural drying per SF - Class 2 (Bid Item),SF,+
WTR,Water Extraction & remediation,DRY3,Structural drying per SF - Class 3 (Bid Item),SF,+
WTR,Water Extraction & remediation,DRY4,Structural drying per SF - Class 4 (Bid Item),SF,+
WTR,Water Extraction & remediation,DRYC,Structural drying per SF - Climate controlled (Bid Item),SF,+
WTR,Water Extraction & remediation,DRYCN,Structural drying per SF - Non-climate cont. (Bid Item),SF,+
WTR,Water Extraction & remediation,PPSAR,Supply Air Respirator (SAR) - (per day),DA,+
WTR,Water Extraction & remediation,TACKG,Tackless strip guard,LF,+
WTR,Water Extraction & remediation,TACKGA,Tackless strip guard - after hours,LF,+
WTR,Water Extraction & remediation,INSCSA,Tear out and bag wet insul. confined space- Cat 3- aft hrs,SF,-
WTR,Water Extraction & remediation,INS,Tear out and bag wet insulation,SF,-
